"SIUQ3G_L"	"STHFJP_L"	"S8APX1_L"	"SACBBR_L"	"SIRUBH_L"	"S5MEZA_L"	"SCNXZK_L"	"SC1YIM_L"	"SBWPUY_L"	"SY34ZS_L"	"SUXEKB_L"	"SG3CB2_L"	"SLWUQ2_L"	"SKYQAL_L"	"SQVR9H_L"
"155c691189617799ff9a18b934757666"	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0
"1570baa22235d673ac86254c2bb0fed5"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"158d89d9b9c693a6a3b53239a887af3c"	0	0	0	0	0	0	0	0	0	0	0	0	1211	0	0
"15ee3bf3f46dad0305d8b2b38a8cc240"	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0
"16e62166acb822cc5a165f093a777fec"	0	1362	0	0	0	7508	0	0	0	10254	0	0	61	0	0
"16ec85ab9d45858c16c13494ee12ca23"	0	0	0	0	245	0	0	0	0	0	0	0	545	0	0
"16f6ae90e542578e14b100ee09a47504"	0	0	0	0	0	0	0	0	0	0	0	0	0	9403	0
"17485ec680d1b0cc51297b6cfc2d5228"	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0
"178db860104c8fee16dfb4bf4b9eef17"	0	1736	413	0	0	1569	718	0	0	0	0	0	357	0	0
"17c3fcf2a8251108ad28d7f382c19ce9"	0	0	0	0	0	0	0	0	0	0	0	0	0	2172	0
"17d229fa1dde2e0a663e339af6f834da"	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
"180052d4066b6a25224d08d37e77e727"	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0
"18b81655194d66184cedc9f33aa27918"	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0
"18e60a998c58a2930eeb0d817b3fe5ef"	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0
"192af4bc5012a4e31229b4f8687faf6e"	0	0	0	0	0	0	0	0	0	0	0	0	2480	0	0
"195d3254ae7ce5411e624ea1ac852b25"	0	0	0	0	0	407	0	0	0	3720	0	0	0	0	0
"19ecf830448859d1f1abf8ac1963b53d"	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0
"1a23b83e2faf9b7f09174f609db319cd"	0	0	0	0	0	0	0	2125	0	0	0	0	0	0	0
"1a5cbfddc654b167494c59ae45604874"	0	0	0	1708	0	0	0	0	0	0	0	0	0	0	0
"1b00ad98d1ded899ea36fd5d9ae5d216"	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0
"1b162c3ef5dadac9aaecc180fa39ec27"	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
"1b1cc964602a397715b6ed14c0dde881"	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
"1b3a47f36829bf03680e515c319c438b"	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0
"1b4624f15fb7a880e4436f2f747fad82"	0	0	0	0	0	0	0	0	0	0	0	0	0	2472	0
"1b7b1c8613e5f86194ff160b86df2acb"	0	0	0	0	0	0	0	0	0	0	0	0	0	1090	0
"1be9919dad0079572771a4864e7ce9ca"	0	0	0	0	0	1868	0	0	0	0	0	0	0	0	0
"1bf904b14c54817e540cfe27a02def8a"	0	7136	0	0	0	2797	0	0	0	46099	0	0	0	13253	0
"1c0b0dd039d5ee2b507f96297f36b44a"	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0
"1c4ba8fed28d0878abcd461daa3014d3"	0	0	0	0	2007	1949	0	0	0	0	0	0	2019	632	0
"1c6e71719c9fd3e457e85e4f81e41584"	0	0	0	0	0	0	0	0	0	0	0	0	0	8392	0
"1d851271591dfb786adf48de11131907"	0	0	0	0	0	0	7352	0	0	0	0	0	0	6822	0
"1d9ea9c207e192fd945a10c600e930ad"	0	0	152	0	0	0	0	0	0	0	0	0	608	0	0
"1dd7f7441e73d89091a7c79d69318f1c"	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0
"1dd90b2dea1f1d9ff88bae08712e2209"	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0
"1e08c08f16cbfd024c3c91c9148f188b"	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0
"1e15bc6bd78155417073f5eb5718a61d"	0	0	0	0	0	0	0	0	0	0	0	0	1278	0	0
"1e1fca01084e190df120b38576fa06c3"	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
"1e4c89a6239b78b6014138facb90e76e"	0	0	0	0	0	0	0	0	0	1692	0	0	0	0	0
"1e55bd3f942e5045c58d75622b0e16f8"	0	0	0	12185	5374	0	0	0	0	0	0	0	1602	6532	0
"1e5f8c0d4911f4859792f1d491040355"	0	0	0	0	0	16	16	0	0	44	0	0	0	0	0
"1e68ec644fefba61793ade43fff0dd7a"	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0
"1e80e8209b405b991c38655aa24aa1ce"	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0
"1ed6309a70b1f4ed45a000db04783491"	0	0	0	0	0	0	0	0	0	0	0	0	1109	0	0
"1ee8349ec416ebda68841ec1b2b095cd"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	699
"1eeacdc57c4eb727f1895401c68e6b50"	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0
"1efde642802af1a77ce5051135127479"	0	0	0	0	0	0	0	0	0	1776	0	0	0	0	0
"1f8a386137cb76741bbee9d024d9c246"	0	0	110	0	0	0	0	0	0	10857	0	0	0	0	0
"1fbcc299bc84a7e3d80baad1deb365d3"	0	206	0	0	0	441	0	0	0	145	0	0	0	0	0
"1fd6be3c124e5027a96a912a26607981"	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0
"2038288a1b6b2d5ec8dfe985862fa768"	10977	0	824	0	0	0	0	0	0	0	0	0	5668	0	0
"2062d1869abae3db1e0595dd5bed2dcb"	0	0	0	0	0	0	0	0	0	0	1450	0	20	0	3546
"20ea63ae26e3b3826a516fbec9c11bdf"	0	0	0	0	0	0	2809	0	0	0	0	0	0	0	0
"20fcc4a3b8896406fc40a68c468d2006"	0	0	193	0	1145	0	0	0	981	0	13228	0	178	0	0
"211430bdc2bde72ee22ccda5c14ba955"	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0
"219714843aa24c64ef3bc0e43a9176a0"	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0
"21abb3dbdf690a69adf716460e9b04fe"	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0
"222d4bc04e9006f6c3677f3227942d27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252
"22590c3a5854fa094d51f4ac9e0b460e"	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0
"22591b273719b4693e1aafbd29e31646"	0	37	0	0	0	2352	0	0	0	0	0	0	0	1450	0
"22d2d6c84e75208a8f3e1bcfc25bfa43"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"22ef55a6450f2eb65cfe2448ac295eb2"	0	0	5245	0	0	0	0	0	0	0	0	0	0	0	0
"23a2e3bce9958122db15f688f3cb03fd"	0	0	0	0	0	0	0	0	0	0	0	0	1551	0	0
"249a49bc1636b6e6c1e93fddbcf92d45"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"2550705a6dc3308ba21c0418c16a4a6c"	0	0	0	0	0	0	0	0	0	6202	0	0	0	0	0
"2559c4f77abb832a0deff1e13eddcbd2"	0	0	0	0	0	0	0	0	0	1212	0	0	0	0	0
"25dc06567e2b8551a3f60feda7e2e29e"	0	0	0	0	245	0	0	0	1308	0	0	0	0	0	0
"264bc33916c940d4e79c2f9982b48c0d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260
"275b6eac0c3d2af3d2c082eae441ecbe"	0	4761	748	0	0	2774	0	0	0	0	0	0	1492	0	6202
"2781062c6159410918b9c429f3e7a403"	0	0	0	0	0	0	0	0	0	0	0	0	0	904	0
"278858a814e0a3aef12ba26ef157f743"	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0
"27c585a87f183f7e91be284ac6fce643"	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0
"27e06ba5d887cf03b33e625869a078c7"	0	0	0	0	0	0	0	0	0	9581	0	0	0	0	0
"283b04f0ec715026e4ec2b7d8263765a"	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0
"28634927afbd34c3c52fea79725b827c"	0	0	0	0	0	0	0	0	0	0	49703	0	0	0	0
"28a4971e545c7341b6e0b1192a5b7251"	0	0	0	7512	5976	0	0	0	0	0	0	0	0	0	0
